4.423085152169212 0.008387359535596892 FPZ mns MM08
5.435882676547022 0.0028728374951749232 FP2 tar MM08
5.4366777373173685 0.0028704709186815505 FP2 mns MM08
5.129174001436948 0.00395586558948861 AF4 mnf MM08
5.129174001436948 0.00395586558948861 AF4 mdf MM08
4.493037463299693 0.0077782814003251035 F7 tar MM08
4.493378530303831 0.007775426682419915 F7 mns MM08
5.037026222645199 0.00435830919946628 F5 tar MM08
5.0373360594880925 0.004356887033997288 F5 mns MM08
4.753803513733474 0.005883249872290896 F3 tar MM08
4.75443488938848 0.005879294148983912 F3 mns MM08
5.842261166038391 0.0018917737443412614 F1 tar MM08
5.842689583409655 0.0018909475689315742 F1 mns MM08
5.283973024586379 0.003364395783780072 FZ tar MM08
5.283896629407781 0.0033646638558998466 FZ mns MM08
5.2920113654698575 0.0033363126971639235 F6 tar MM08
5.2924356147378555 0.003334837303543126 F6 mns MM08
5.005720628815803 0.004504516676709824 F8 tar MM08
5.006341048755302 0.004501570197639275 F8 mns MM08
4.835596464426351 0.0053930781331116 FC6 zcd MM08
3.013912710754795 0.039944470624224376 FP1 alar MM09
4.109549959195199 0.011788704013310634 F5 lat MM09
3.388852941025356 0.02617346827288527 F5 alar MM09
3.912597902218844 0.014629687597550393 F1 lat MM09
2.993070537904483 0.040900099995716005 FZ mef MM09
3.407623674339636 0.025628776095297612 FT7 ppt MM09
4.00640786312227 0.01319733605777067 FT7 mef MM09
4.653630174110965 0.006547187279999959 FC5 lat MM09
7.2368168480334285 0.00047479584399877367 FC5 lar MM09
7.2368168480334285 0.00047479584399877367 FC5 alar MM09
4.2492070133096025 0.010124992958227119 FC5 ppt MM09
3.113650869967467 0.0356787083993738 M1 alar MM09
3.478589435436684 0.02367279409767067 P7 mef MM09
3.092252291396999 0.03655272828981328 P5 ppt MM09
3.3655746862397278 0.02686555773268172 P5 pps MM09
3.6203786182103164 0.020212126632296993 P5 zcd MM09
2.9744477798173494 0.04177379615774032 P3 pps MM09
3.1487225783930546 0.03429234990496036 P3 zcd MM09
2.857767460229195 0.04770109573823868 P2 alar MM09
2.9469172051987176 0.04310060452599811 OZ mef MM09
3.1182153683827347 0.035495066409621794 FP2 mnf MM10
3.1182153683827347 0.035495066409621794 FP2 mdf MM10
3.0139763351254416 0.03994158873011398 AF4 zcd MM10
4.901871553649598 0.005027057127185703 FC3 amp MM10
4.386006562945181 0.00873003933989622 FC1 mes MM10
3.145962756961855 0.0343994097567255 FCZ lar MM10
4.468757967422668 0.007984316185865424 FT8 lar MM10
3.21303375022314 0.03189218603838245 C3 par MM10
3.2432626253159076 0.030824349616393763 C2 mes MM10
3.671713389623412 0.019091730223239903 CP3 mef MM10
3.7603833706752434 0.01730502011488684 CPZ mes MM10
3.29679171331898 0.02902273097721435 P5 amp MM10
4.530639606131459 0.007469999343116266 P3 amp MM10
2.992907694349503 0.04090765811023197 P1 amp MM10
3.515991253810975 0.022704472221122613 P2 pps MM10
4.518019677063993 0.007572027205150379 P2 zcd MM10
3.069412389022178 0.037509902037646245 PO3 amp MM10
3.395200649519547 0.02598794783256286 O1 amp MM10
3.924209864450032 0.01444400241435772 O1 lar MM10
3.678039530930168 0.01895816571033832 OZ amp MM10
2.1742700515141107 0.1045348859401679 FP1 lar MM10
2.2691649813969073 0.0936916601066965 FP1 mes MM10
2.218330211755104 0.0993509083976932 FPZ mes MM10
1.9864035305336116 0.12988090798661542 FP2 lar MM10
3.1182153683827347 0.035495066409621794 FP2 mnf MM10
2.320595893770646 0.08829775464861069 FP2 mef MM10
3.1182153683827347 0.035495066409621794 FP2 mdf MM10
2.3031016887684923 0.0900962567483609 AF3 lar MM10
2.3042755226237626 0.08997442669842715 AF3 mes MM10
2.300578991879148 0.09035864857188655 AF4 lar MM10
1.9660601665938238 0.13297222541396736 AF4 pps MM10
3.0139763351254416 0.03994158873011398 AF4 zcd MM10
2.975447354640081 0.041726418098159405 AF4 mes MM10
2.364579853455379 0.08393502368039542 F7 zc MM10
1.950079102998262 0.1354522819268457 F5 amp MM10
2.487084898503745 0.07290196102650794 F5 mnf MM10
2.487084898503745 0.07290196102650794 F5 mdf MM10
2.1342420393815993 0.10948087875314601 F3 amp MM10
2.843380191173246 0.0484893724882088 F3 lar MM10
2.9501133632459178 0.04294437778152734 F6 ppt MM10
1.9527028343426411 0.13504195655997905 F6 zcd MM10
2.228249293252052 0.09822013840100725 FT7 ppt MM10
2.2123171808805253 0.1000427871695717 FT7 zc MM10
2.0692246938626826 0.11802247316023447 FC5 amp MM10
2.9424377663409214 0.04332053831903231 FC5 lat MM10
2.6751336839987383 0.05876048037340299 FC5 alar MM10
4.901871553649598 0.005027057127185703 FC3 amp MM10
2.379800359309444 0.08247677457285867 FC3 pps MM10
2.204554421716479 0.10094320057602059 FC3 mef MM10
4.386006562945181 0.00873003933989622 FC1 mes MM10
3.145962756961855 0.0343994097567255 FCZ lar MM10
2.5622595298749022 0.06687347193156405 FCZ pps MM10
2.626648776470424 0.06211474632879516 FCZ zcd MM10
2.4489254613581948 0.07617086879988452 FCZ mes MM10
2.4436570851937973 0.07663374507477504 FC2 tar MM10
2.385574729826281 0.08193029315254759 FC2 nar MM10
2.0027061827273434 0.12745569634052056 FC2 std MM10
1.993523693439299 0.12881605760792775 FC2 var MM10
2.4445215829198665 0.07655759522021244 FC2 mns MM10
2.900372647636755 0.045442836551791196 FC2 mes MM10
2.9532736333306127 0.042790475862856954 FC6 ppt MM10
2.2203108588739178 0.09912406907941192 FC6 zcd MM10
